id,metin,etiket,kategori,metin_temiz
1,"Tebrikler! Sistemimizde yapılan çekiliş sonucunda ödül kazandınız, hemen almak için giriş yapın.",spam,ödül,tebrik sistem yapıla çekiliş sonuç ödül kaza heme almak giriş yap
2,"Tebrikler! Büyük ödülü kazandınız, hemen almak için bağlantıya tıklayın",spam,ödül,tebrik büyük ödül kaza heme almak bağlantı tıklay
3,"Sistemimizde yapılan çekiliş sonucu iPhone kazandınız, detaylar için giriş yapın",spam,ödül,sistem yapıla çekiliş sonuç ipho kaza detay giriş yap
4,"Kazananlar listesine girdiniz, ödülünüzü almak için tıklayın",spam,ödül,kazanan liste gir ödül almak tıklay
5,"Hediye kazandınız, kampanyadan yararlanmak için hemen giriş yapın",spam,ödül,hedi kaza kampanya yararlanmak heme giriş yap
6,"Hesabınız güvenlik nedeniyle askıya alınmıştır, doğrulama yapınız",spam,banka,hesap güvenlik neden askı al doğrula yap
7,Kartınız şüpheli işlem nedeniyle geçici olarak kapatılmıştır,spam,banka,kar şüphel işle neden geçiç kapatıl
8,"Bankamız tarafından risk tespit edildi, hesabınızı güncelleyin",spam,banka,banka risk tespit edil hesap güncelley
9,Hesabınızı aktif tutmak için bilgilerinizi hemen doğrulayın,spam,banka,hesap aktif tutmak bilgi heme doğrulay
10,"Kargonuz teslim edilemedi, adresinizi güncellemeniz gerekiyor",spam,kargo,kargo tesl edilemedi adres güncelleme gerekiyor
11,"Paketiniz şubede bekliyor, teslim almak için formu doldurun",spam,kargo,paket şube bekliyor tesl almak formu doldur
12,"Gönderiniz eksik bilgi nedeniyle iade edilecektir, işlem yapın",spam,kargo,gönder eksik bilgi neden ia edilecek işle yap
13,"Kargonuz yolda, teslim almak için bağlantıya tıklayın",spam,kargo,kargo yol tesl almak bağlantı tıklay
14,Son uyarı! Hesabınız 24 saat içinde silinecektir,spam,tehdit,son uyar hesap saat iç silinecek
15,Acil işlem yapılmazsa hesabınız kalıcı olarak kapatılacaktır,spam,tehdit,acil işle yapılmaz hesap kalıç kapatılacak
16,"Güvenlik ihlali tespit edildi, hemen müdahale edin",spam,tehdit,güvenlik ihlal tespit edil heme müdahal edi
17,"isteme erişiminiz engellenmek üzeredir, doğrulama yapın",spam,tehdit,iste eriş engellenmek üzer doğrula yap
18,Günde 1000 TL kazanmak ister misiniz? Hemen katılın,spam,yatırım,g tl kazanmak ister mi heme katıl
19,Evden çalışarak yüksek kazanç fırsatı sizi bekliyor,spam,yatırım,ev çalışarak yük kazanç fırsat siz bekliyor
20,"Kripto yatırım fırsatını kaçırmayın, şimdi katılın",spam,yatırım,kripto yatır fırsat kaçırmay ş katıl
21,Hiç risk almadan para kazanabileceğiniz sistem hazır,spam,yatırım,hiç risk alma par kazanabilecek siste hazır
22,Sadece bugün geçerli %80 indirim fırsatını kaçırmayın,spam,reklam,sadeç bugu geçerli indir fırsat kaçırmay
23,Sınırlı stok! Ürünler tükenmeden sipariş verin,spam,reklam,sınırlı stok ürün tükenme sipariş ver
