id;metin;etiket;kategori
1;Tebrikler! Sistemimizde yapılan çekiliş sonucunda ödül kazandınız, hemen almak için giriş yapın.;spam;ödül
2;Tebrikler! Büyük ödülü kazandınız, hemen almak için bağlantıya tıklayın;spam;ödül
3;Sistemimizde yapılan çekiliş sonucu iPhone kazandınız, detaylar için giriş yapın;spam;ödül
4;Kazananlar listesine girdiniz, ödülünüzü almak için tıklayın;spam;ödül
5;Hediye kazandınız, kampanyadan yararlanmak için hemen giriş yapın;spam;ödül
6;Hesabınız güvenlik nedeniyle askıya alınmıştır, doğrulama yapınız;spam;banka
7;Kartınız şüpheli işlem nedeniyle geçici olarak kapatılmıştır;spam;banka
8;Bankamız tarafından risk tespit edildi, hesabınızı güncelleyin;spam;banka
9;Hesabınızı aktif tutmak için bilgilerinizi hemen doğrulayın;spam;banka
10;Kargonuz teslim edilemedi, adresinizi güncellemeniz gerekiyor;spam;kargo
11;Paketiniz şubede bekliyor, teslim almak için formu doldurun;spam;kargo
12;Gönderiniz eksik bilgi nedeniyle iade edilecektir, işlem yapın;spam;kargo
13;Kargonuz yolda, teslim almak için bağlantıya tıklayın;spam;kargo
14;Son uyarı! Hesabınız 24 saat içinde silinecektir;spam;tehdit
15;Acil işlem yapılmazsa hesabınız kalıcı olarak kapatılacaktır;spam;tehdit
16;Güvenlik ihlali tespit edildi, hemen müdahale edin;spam;tehdit
17;isteme erişiminiz engellenmek üzeredir, doğrulama yapın;spam;tehdit
18;Günde 1000 TL kazanmak ister misiniz? Hemen katılın;spam;yatırım
19;Evden çalışarak yüksek kazanç fırsatı sizi bekliyor;spam;yatırım
20;Kripto yatırım fırsatını kaçırmayın, şimdi katılın;spam;yatırım
21;Hiç risk almadan para kazanabileceğiniz sistem hazır;spam;yatırım
22;Sadece bugün geçerli %80 indirim fırsatını kaçırmayın;spam;reklam
23;Sınırlı stok! Ürünler tükenmeden sipariş verin;spam;reklam
24;Size özel kampanya başladı, hemen alışverişe başlayın;spam;reklam
25;Büyük indirim fırsatı, şimdi satın alın;spam;reklam
26;Hesabınıza giriş yapmak için aşağıdaki bağlantıyı kullanın;spam;kimlik avı
27;Şifrenizi yenilemeniz gerekiyor, aksi halde erişim kısıtlanacaktır;spam;kimlik avı
28;Güvenliğiniz için bilgilerinizi doğrulamanız gerekmektedir;spam;kimlik avı
29;Hesap doğrulama işlemi tamamlanmadı, hemen giriş yapın;spam;kimlik avı
30;Kazanan kullanıcılar arasına girdiniz, ödülünüzü almak için giriş yapın;spam;ödül
31;Hesabınızda olağandışı işlem tespit edildi, hemen kontrol edin;spam;banka
32;Size para iadesi yapılacak;spam;banka
33;Banka hesabınızı doğrulayın;spam;banka
34;Bir paket teslimatınız var;spam;kargo
35;Patronun yardıma ihtiyacı var;spam;iş dolandırıcılığı
36;Patronunuz sizden acil ödeme yapmanızı istiyor;spam;kimlik avı
37;Sayın çalışanımız, acil olarak hediye kartı satın alın;spam;iş dolandırıcılığı
38;Kazanan kullanıcılar arasına girdiniz, hediyenizi almak için bağlantıya tıklayın;spam;ödül
39;Sürpriz! Adınıza tanımlanan ödülü almak için hesabınıza giriş yapın;spam;ödül
40;Kampanyamız kapsamında size özel hediye kazandınız, detaylar için tıklayın;spam;ödül
41;Şanslı kullanıcılar arasındasınız, ödülünüz sizi bekliyor;spam;ödül
42;Tebrikler, ücretsiz ödül kazandınız, hemen teslim almak için işlem yapın;spam;ödül
43;Adınıza kayıtlı ödül bulunmaktadır, almak için formu doldurun;spam;ödül
44;Çekiliş sonucu büyük ödül size çıktı, kaçırmamak için hemen giriş yapın;spam;ödül
45;Kazananlar listesinde yer aldınız, hediyenizi almak için doğrulama yapın;spam;ödül
46;Size özel ödül fırsatı sunuluyor, hemen yararlanmak için giriş yapın;spam;ödül
47;Tebrikler! Hediye çeki kazandınız, kullanmak için hesabınıza girin;spam;ödül
48;Sistemimizde yapılan değerlendirme sonucu ödül kazandınız;spam;ödül
49;Sınırlı süreli ödül hakkı kazandınız, hemen talep oluşturun;spam;ödül
50;Kazandığınız ödül hesabınıza tanımlandı, aktif etmek için tıklayın;spam;ödül
51;Hediye kazanma hakkı elde ettiniz, detaylar için giriş yapınız;spam;ödül
52;Ödülünüz hazır, almak için hemen doğrulama işlemini tamamlayın;spam;ödül
53;Tebrikler! Çekiliş kazananları arasındasınız, ödülünüzü alın;spam;ödül
54;Adınıza özel hazırlanan ödülü kaçırmamak için hemen işlem yapın;spam;ödül
55;Kazandığınız hediye paketi için teslimat bilgilerinizi girin;spam;ödül
56;Adınıza özel hazırlanan hediyeyi kaçırmamak için hemen işlem yapın;spam;ödül
57;Kazandığınız ödül için teslimat bilgilerinizi girin;spam;ödül
58;Tebrikler! 5.000 TL hediye kazandınız, hemen alın. ;spam;ödül
59;Çekiliş sonucu size özel ödül kazandınız.;spam;ödül
60;Hediye kuponunuz hesabınıza tanımlandı.;normal;ödül
61;Kazandığınız ödülü almak için tıklayın.;spam;ödül
62;Sadakat programı ödülünüz hazır. ;normal;ödül
63;Ücretsiz tatil kazandınız! ;spam;ödül
64;Size özel sürpriz ödülümüz var. ;spam;ödül
65;Kampanya ödülünüzü kullanabilirsiniz. ;normal;ödül
66;iPhone kazandınız, hemen giriş yapın. ;spam;ödül
67;Hediye çekiniz aktif edildi. ;normal;ödül
68;Büyük ödül sizi bekliyor. ;spam;ödül
69;Kazandığınız ödül için bilgilerinizi girin. ;spam;ödül
70;Tebrikler! Çekiliş kazananısınız. ;spam;ödül
71;Bonus puanlarınız yüklendi. ;normal;ödül
72;Ödül süresi dolmak üzere. ;spam;ödül
73;Hediyenizi almak için son gün. ;spam;ödül
74;Üyeliğiniz için teşekkür hediyesi.;normal;ödül
75;Sürpriz ödül kazandınız. ;spam;ödül
76;Ödülünüzü kullanabilirsiniz. ;normal;ödül
77;Bedava alışveriş hakkı kazandınız. ;spam;ödül
78;Hesabınızda şüpheli oturum açma denemesi algılandı, güvenlik için hemen doğrulama yapın;spam;kimlik avı
79;Kullanıcı bilgilerinizin süresi dolmuştur, hesabınızın kapanmaması için giriş yapın;spam;kimlik avı
80;E-posta hesabınız geçici olarak sınırlandırıldı, erişimi açmak için bilgilerinizi onaylayın;spam;kimlik avı
81;Güvenlik kontrolü tamamlanmadı, hesabınızı kullanmaya devam etmek için doğrulama yapmanız gerekiyor;spam;kimlik avı
82;Hesabınızda şüpheli işlem var. ;spam;banka
83;Ekstreniz hazırdır. ;normal;banka
84;Hesabınızı doğrulayın. ;spam;banka
85;Kredi başvurunuz onaylandı. ;spam;banka
86;Banka bilgilendirme mesajıdır. ;normal;banka
87;Şifrenizi güncelleyin. ;spam;banka
88;İşlem detaylarınızı kontrol edin. ;normal;banka
89;Hesabınız askıya alındı.;spam;banka
90;Kartınız kullanıma açıldı. ;normal;banka
91;Güvenlik doğrulaması yapın.;spam;banka
92;Limitiniz artırıldı. ;normal;banka
93;Acil işlem bildirimi.;spam;banka
94;Banka duyurusu. ;normal;banka
95;Kartınız bloke edildi. ;spam;banka
96;Mobil bankacılığa giriş yaptınız. ;normal;banka
97;Hesabınıza giriş yapılmadı.;spam;banka
98;İşlem onaylandı. ;normal;banka
99;Güvenlik ihlali var. ;spam;banka
100;Para transferiniz tamamlandı. ;normal;banka
101;Kimlik doğrulama gerekli. ;spam;banka
